1,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 45 Deg,,,2,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 90 Deg,Elevate 9 Inch,,3,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 90 Deg,Elevate 6 Inch,,4,Follower,,,Leader,Rotate Theta 120 Deg,Tilt 90 Deg,Elevate 6 Inch,,5,Follower,,,Leader,Rotate Theta -120 Deg,Tilt 90 Deg,Elevate 6 Inch,,6,Follower,,,Leader,Rotate Theta -120 Deg,Tilt 45 Deg,,,7,Follower,,,Leader,Rotate Theta -60 Deg,Tilt 45 Deg,,,8,Follower,,,Leader,Rotate Theta -60 Deg,Tilt 90 Deg,Elevate 6 Inch,,9,Follower,,,Leader,Rotate Theta -90 Deg,Tilt 90 Deg,Elevate 6 Inch,,10,Follower,,,Leader,Rotate Theta -90 Deg,Tilt 45 Deg,,
,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo
,9,72.0, 70.71067811865476,72.0,64.28932188134524,72.0, 70.71067811865476,9,,9,72.0, 70.71067811865476,72.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,9,72.0, 70.71067811865476,72.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,9,72.0, 70.71067811865476,12.0,19.289321881345245,0.0, 35.35533905932738,1,,9,72.0, 70.71067811865476,132.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,9,72.0, 70.71067811865476,132.0,64.28932188134524,144.0, 70.71067811865476,11,,9,72.0, 70.71067811865476,192.0,64.28932188134524,180.0, 70.71067811865476,12,,9,72.0, 70.71067811865476,192.0,19.289321881345245,180.0, 35.35533905932738,4,,9,72.0, 70.71067811865476,162.0,19.289321881345245,180.0, 35.35533905932738,4,,9,72.0, 70.71067811865476,162.0,64.28932188134524,144.0, 70.71067811865476,11
,10,108.0, 70.71067811865476,108.0,64.28932188134524,108.0, 70.71067811865476,10,,10,108.0, 70.71067811865476,108.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,10,108.0, 70.71067811865476,108.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,10,108.0, 70.71067811865476,48.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,10,108.0, 70.71067811865476,168.0,19.289321881345245,180.0, 35.35533905932738,4,,10,108.0, 70.71067811865476,168.0,64.28932188134524,180.0, 70.71067811865476,12,,10,108.0, 70.71067811865476,228.0,64.28932188134524,216.0, 70.71067811865476,13,,10,108.0, 70.71067811865476,228.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,10,108.0, 70.71067811865476,198.0,19.289321881345245,180.0, 35.35533905932738,4,,10,108.0, 70.71067811865476,198.0,64.28932188134524,180.0, 70.71067811865476,12
,11,144.0, 70.71067811865476,144.0,64.28932188134524,144.0, 70.71067811865476,11,,11,144.0, 70.71067811865476,144.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,11,144.0, 70.71067811865476,144.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,11,144.0, 70.71067811865476,84.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,11,144.0, 70.71067811865476,204.0,19.289321881345245,180.0, 35.35533905932738,4,,11,144.0, 70.71067811865476,204.0,64.28932188134524,216.0, 70.71067811865476,13,,11,144.0, 70.71067811865476,264.0,64.28932188134524,252.0, 70.71067811865476,14,,11,144.0, 70.71067811865476,264.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,11,144.0, 70.71067811865476,234.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,11,144.0, 70.71067811865476,234.0,64.28932188134524,216.0, 70.71067811865476,13
,12,180.0, 70.71067811865476,180.0,64.28932188134524,180.0, 70.71067811865476,12,,12,180.0, 70.71067811865476,180.0,19.289321881345245,180.0, 35.35533905932738,4,,12,180.0, 70.71067811865476,180.0,19.289321881345245,180.0, 35.35533905932738,4,,12,180.0, 70.71067811865476,120.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,12,180.0, 70.71067811865476,240.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,12,180.0, 70.71067811865476,240.0,64.28932188134524,252.0, 70.71067811865476,14,,12,180.0, 70.71067811865476,300.0,64.28932188134524,288.0, 70.71067811865476,15,,12,180.0, 70.71067811865476,300.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,12,180.0, 70.71067811865476,270.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,12,180.0, 70.71067811865476,270.0,64.28932188134524,252.0, 70.71067811865476,14
,13,216.0, 70.71067811865476,216.0,64.28932188134524,216.0, 70.71067811865476,13,,13,216.0, 70.71067811865476,216.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,13,216.0, 70.71067811865476,216.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,13,216.0, 70.71067811865476,156.0,19.289321881345245,180.0, 35.35533905932738,4,,13,216.0, 70.71067811865476,276.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,13,216.0, 70.71067811865476,276.0,64.28932188134524,288.0, 70.71067811865476,15,,13,216.0, 70.71067811865476,336.0,64.28932188134524,324.0, 70.71067811865476,16,,13,216.0, 70.71067811865476,336.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,13,216.0, 70.71067811865476,306.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,13,216.0, 70.71067811865476,306.0,64.28932188134524,288.0, 70.71067811865476,15
,14,252.0, 70.71067811865476,252.0,64.28932188134524,252.0, 70.71067811865476,14,,14,252.0, 70.71067811865476,252.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,14,252.0, 70.71067811865476,252.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,14,252.0, 70.71067811865476,192.0,19.289321881345245,180.0, 35.35533905932738,4,,14,252.0, 70.71067811865476,312.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,14,252.0, 70.71067811865476,312.0,64.28932188134524,324.0, 70.71067811865476,16,,14,252.0, 70.71067811865476,12.0,64.28932188134524,0.0, 70.71067811865476,7,,14,252.0, 70.71067811865476,12.0,19.289321881345245,0.0, 35.35533905932738,1,,14,252.0, 70.71067811865476,342.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,14,252.0, 70.71067811865476,342.0,64.28932188134524,324.0, 70.71067811865476,16
,15,288.0, 70.71067811865476,288.0,64.28932188134524,288.0, 70.71067811865476,15,,15,288.0, 70.71067811865476,288.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,15,288.0, 70.71067811865476,288.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,15,288.0, 70.71067811865476,228.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,15,288.0, 70.71067811865476,348.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,15,288.0, 70.71067811865476,348.0,64.28932188134524,324.0, 70.71067811865476,16,,15,288.0, 70.71067811865476,48.0,64.28932188134524,36.0, 70.71067811865476,8,,15,288.0, 70.71067811865476,48.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,15,288.0, 70.71067811865476,18.0,19.289321881345245,0.0, 35.35533905932738,1,,15,288.0, 70.71067811865476,18.0,64.28932188134524,0.0, 70.71067811865476,7
,16,324.0, 70.71067811865476,324.0,64.28932188134524,324.0, 70.71067811865476,16,,16,324.0, 70.71067811865476,324.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,16,324.0, 70.71067811865476,324.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,16,324.0, 70.71067811865476,264.0,19.289321881345245,239.99999999999997, 35.35533905932738,5,,16,324.0, 70.71067811865476,24.0,19.289321881345245,0.0, 35.35533905932738,1,,16,324.0, 70.71067811865476,24.0,64.28932188134524,36.0, 70.71067811865476,8,,16,324.0, 70.71067811865476,84.0,64.28932188134524,72.0, 70.71067811865476,9,,16,324.0, 70.71067811865476,84.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,16,324.0, 70.71067811865476,54.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,16,324.0, 70.71067811865476,54.0,64.28932188134524,36.0, 70.71067811865476,8
,17,0.0, 106.06601717798213,0.0,28.933982822017867,0.0, 35.35533905932738,1,,17,0.0, 106.06601717798213,0.0,-16.066017177982133,0.0, 0.0,0,,17,0.0, 106.06601717798213,0.0,-16.066017177982133,0.0, 0.0,0,,17,0.0, 106.06601717798213,300.0,-16.066017177982133,299.99999999999994, 35.35533905932738,6,,17,0.0, 106.06601717798213,60.0,-16.066017177982133,59.99999999999999, 35.35533905932738,2,,17,0.0, 106.06601717798213,60.0,28.933982822017867,59.99999999999999, 35.35533905932738,2,,17,0.0, 106.06601717798213,120.0,28.933982822017867,119.99999999999999, 35.35533905932738,3,,17,0.0, 106.06601717798213,120.0,-16.066017177982133,119.99999999999999, 35.35533905932738,3,,17,0.0, 106.06601717798213,90.0,-16.066017177982133,119.99999999999999, 35.35533905932738,3,,17,0.0, 106.06601717798213,90.0,28.933982822017867,119.99999999999999, 35.35533905932738,3
,18,36.0, 106.06601717798213,36.0,28.933982822017867,59.99999999999999, 35.35533905932738,2,,18,36.0, 106.06601717798213,36.0,-16.066017177982133,0.0, 0.0,0,,18,36.0, 106.06601717798213,36.0,-16.066017177982133,0.0, 0.0,0,,18,36.0, 106.06601717798213,336.0,-16.066017177982133,299.99999999999994, 35.35533905932738,6,,18,36.0, 106.06601717798213,96.0,-16.066017177982133,119.99999999999999, 35.35533905932738,3,,18,36.0, 106.06601717798213,96.0,28.933982822017867,119.99999999999999, 35.35533905932738,3,,18,36.0, 106.06601717798213,156.0,28.933982822017867,180.0, 35.35533905932738,4,,18,36.0, 106.06601717798213,156.0,-16.066017177982133,180.0, 35.35533905932738,4,,18,36.0, 106.06601717798213,126.0,-16.066017177982133,119.99999999999999, 35.35533905932738,3,,18,36.0, 106.06601717798213,126.0,28.933982822017867,119.99999999999999, 35.35533905932738,3
