1,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 45 Deg,,,2,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 90 Deg,Elevate 9 Inch,,3,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 90 Deg,Elevate 6 Inch,,4,Follower,,,Leader,Rotate Theta 120 Deg,Tilt 90 Deg,Elevate 6 Inch,,5,Follower,,,Leader,Rotate Theta -120 Deg,Tilt 90 Deg,Elevate 6 Inch,,6,Follower,,,Leader,Rotate Theta -120 Deg,Tilt 45 Deg,,,7,Follower,,,Leader,Rotate Theta -60 Deg,Tilt 45 Deg,,,8,Follower,,,Leader,Rotate Theta -60 Deg,Tilt 90 Deg,Elevate 6 Inch,,9,Follower,,,Leader,Rotate Theta -90 Deg,Tilt 90 Deg,Elevate 6 Inch,,10,Follower,,,Leader,Rotate Theta -90 Deg,Tilt 45 Deg,,
,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo
,9,1.2566370614359172, 1.234134149488435,1.2566370614359172,1.1220603407039098,1.2566370614359172, 1.234134149488435,9,,9,1.2566370614359172, 1.234134149488435,1.2566370614359172,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,9,1.2566370614359172, 1.234134149488435,1.2566370614359172,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,9,1.2566370614359172, 1.234134149488435,0.20943951023931895,0.33666217730646153,0.0, 0.6170670747442175,1,,9,1.2566370614359172, 1.234134149488435,2.303834612632515,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,9,1.2566370614359172, 1.234134149488435,2.303834612632515,1.1220603407039098,2.5132741228718345, 1.234134149488435,11,,9,1.2566370614359172, 1.234134149488435,3.351032163829113,1.1220603407039098,3.141592653589793, 1.234134149488435,12,,9,1.2566370614359172, 1.234134149488435,3.351032163829113,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,9,1.2566370614359172, 1.234134149488435,2.827433388230814,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,9,1.2566370614359172, 1.234134149488435,2.827433388230814,1.1220603407039098,2.5132741228718345, 1.234134149488435,11
,10,1.8849555921538759, 1.234134149488435,1.8849555921538759,1.1220603407039098,1.8849555921538759, 1.234134149488435,10,,10,1.8849555921538759, 1.234134149488435,1.8849555921538759,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,10,1.8849555921538759, 1.234134149488435,1.8849555921538759,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,10,1.8849555921538759, 1.234134149488435,0.8377580409572776,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,10,1.8849555921538759, 1.234134149488435,2.9321531433504737,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,10,1.8849555921538759, 1.234134149488435,2.9321531433504737,1.1220603407039098,3.141592653589793, 1.234134149488435,12,,10,1.8849555921538759, 1.234134149488435,3.9793506945470716,1.1220603407039098,3.7699111843077517, 1.234134149488435,13,,10,1.8849555921538759, 1.234134149488435,3.9793506945470716,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,10,1.8849555921538759, 1.234134149488435,3.4557519189487724,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,10,1.8849555921538759, 1.234134149488435,3.4557519189487724,1.1220603407039098,3.141592653589793, 1.234134149488435,12
,11,2.5132741228718345, 1.234134149488435,2.5132741228718345,1.1220603407039098,2.5132741228718345, 1.234134149488435,11,,11,2.5132741228718345, 1.234134149488435,2.5132741228718345,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,11,2.5132741228718345, 1.234134149488435,2.5132741228718345,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,11,2.5132741228718345, 1.234134149488435,1.4660765716752362,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,11,2.5132741228718345, 1.234134149488435,3.5604716740684323,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,11,2.5132741228718345, 1.234134149488435,3.5604716740684323,1.1220603407039098,3.7699111843077517, 1.234134149488435,13,,11,2.5132741228718345, 1.234134149488435,4.60766922526503,1.1220603407039098,4.39822971502571, 1.234134149488435,14,,11,2.5132741228718345, 1.234134149488435,4.60766922526503,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,11,2.5132741228718345, 1.234134149488435,4.084070449666731,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,11,2.5132741228718345, 1.234134149488435,4.084070449666731,1.1220603407039098,3.7699111843077517, 1.234134149488435,13
,12,3.141592653589793, 1.234134149488435,3.141592653589793,1.1220603407039098,3.141592653589793, 1.234134149488435,12,,12,3.141592653589793, 1.234134149488435,3.141592653589793,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,12,3.141592653589793, 1.234134149488435,3.141592653589793,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,12,3.141592653589793, 1.234134149488435,2.094395102393195,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,12,3.141592653589793, 1.234134149488435,4.188790204786391,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,12,3.141592653589793, 1.234134149488435,4.188790204786391,1.1220603407039098,4.39822971502571, 1.234134149488435,14,,12,3.141592653589793, 1.234134149488435,5.235987755982989,1.1220603407039098,5.026548245743669, 1.234134149488435,15,,12,3.141592653589793, 1.234134149488435,5.235987755982989,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,12,3.141592653589793, 1.234134149488435,4.71238898038469,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,12,3.141592653589793, 1.234134149488435,4.71238898038469,1.1220603407039098,4.39822971502571, 1.234134149488435,14
,13,3.7699111843077517, 1.234134149488435,3.7699111843077517,1.1220603407039098,3.7699111843077517, 1.234134149488435,13,,13,3.7699111843077517, 1.234134149488435,3.7699111843077517,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,13,3.7699111843077517, 1.234134149488435,3.7699111843077517,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,13,3.7699111843077517, 1.234134149488435,2.7227136331111534,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,13,3.7699111843077517, 1.234134149488435,4.81710873550435,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,13,3.7699111843077517, 1.234134149488435,4.81710873550435,1.1220603407039098,5.026548245743669, 1.234134149488435,15,,13,3.7699111843077517, 1.234134149488435,5.8643062867009474,1.1220603407039098,5.654866776461628, 1.234134149488435,16,,13,3.7699111843077517, 1.234134149488435,5.8643062867009474,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,13,3.7699111843077517, 1.234134149488435,5.340707511102648,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,13,3.7699111843077517, 1.234134149488435,5.340707511102648,1.1220603407039098,5.026548245743669, 1.234134149488435,15
,14,4.39822971502571, 1.234134149488435,4.39822971502571,1.1220603407039098,4.39822971502571, 1.234134149488435,14,,14,4.39822971502571, 1.234134149488435,4.39822971502571,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,14,4.39822971502571, 1.234134149488435,4.39822971502571,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,14,4.39822971502571, 1.234134149488435,3.351032163829112,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,14,4.39822971502571, 1.234134149488435,5.445427266222309,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,14,4.39822971502571, 1.234134149488435,5.445427266222309,1.1220603407039098,5.654866776461628, 1.234134149488435,16,,14,4.39822971502571, 1.234134149488435,0.20943951023931984,1.1220603407039098,0.0, 1.234134149488435,7,,14,4.39822971502571, 1.234134149488435,0.20943951023931984,0.33666217730646153,0.0, 0.6170670747442175,1,,14,4.39822971502571, 1.234134149488435,5.969026041820607,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,14,4.39822971502571, 1.234134149488435,5.969026041820607,1.1220603407039098,5.654866776461628, 1.234134149488435,16
,15,5.026548245743669, 1.234134149488435,5.026548245743669,1.1220603407039098,5.026548245743669, 1.234134149488435,15,,15,5.026548245743669, 1.234134149488435,5.026548245743669,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,15,5.026548245743669, 1.234134149488435,5.026548245743669,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,15,5.026548245743669, 1.234134149488435,3.9793506945470707,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,15,5.026548245743669, 1.234134149488435,6.073745796940267,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,15,5.026548245743669, 1.234134149488435,6.073745796940267,1.1220603407039098,5.654866776461628, 1.234134149488435,16,,15,5.026548245743669, 1.234134149488435,0.8377580409572785,1.1220603407039098,0.6283185307179586, 1.234134149488435,8,,15,5.026548245743669, 1.234134149488435,0.8377580409572785,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,15,5.026548245743669, 1.234134149488435,0.3141592653589793,0.33666217730646153,0.0, 0.6170670747442175,1,,15,5.026548245743669, 1.234134149488435,0.3141592653589793,1.1220603407039098,0.0, 1.234134149488435,7
,16,5.654866776461628, 1.234134149488435,5.654866776461628,1.1220603407039098,5.654866776461628, 1.234134149488435,16,,16,5.654866776461628, 1.234134149488435,5.654866776461628,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,16,5.654866776461628, 1.234134149488435,5.654866776461628,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,16,5.654866776461628, 1.234134149488435,4.607669225265029,0.33666217730646153,4.1887902047863905, 0.6170670747442175,5,,16,5.654866776461628, 1.234134149488435,0.4188790204786397,0.33666217730646153,0.0, 0.6170670747442175,1,,16,5.654866776461628, 1.234134149488435,0.4188790204786397,1.1220603407039098,0.6283185307179586, 1.234134149488435,8,,16,5.654866776461628, 1.234134149488435,1.466076571675237,1.1220603407039098,1.2566370614359172, 1.234134149488435,9,,16,5.654866776461628, 1.234134149488435,1.466076571675237,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,16,5.654866776461628, 1.234134149488435,0.9424777960769379,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,16,5.654866776461628, 1.234134149488435,0.9424777960769379,1.1220603407039098,0.6283185307179586, 1.234134149488435,8
,17,0.0, 1.8512012242326525,0.0,0.5049932659596923,0.0, 0.6170670747442175,1,,17,0.0, 1.8512012242326525,0.0,-0.280404897437756,0, 0,0,,17,0.0, 1.8512012242326525,0.0,-0.280404897437756,0, 0,0,,17,0.0, 1.8512012242326525,5.235987755982988,-0.280404897437756,5.235987755982988, 0.6170670747442175,6,,17,0.0, 1.8512012242326525,1.0471975511965979,-0.280404897437756,1.0471975511965976, 0.6170670747442175,2,,17,0.0, 1.8512012242326525,1.0471975511965979,0.5049932659596923,1.0471975511965976, 0.6170670747442175,2,,17,0.0, 1.8512012242326525,2.0943951023931957,0.5049932659596923,2.0943951023931953, 0.6170670747442175,3,,17,0.0, 1.8512012242326525,2.0943951023931957,-0.280404897437756,2.0943951023931953, 0.6170670747442175,3,,17,0.0, 1.8512012242326525,1.5707963267948966,-0.280404897437756,2.0943951023931953, 0.6170670747442175,3,,17,0.0, 1.8512012242326525,1.5707963267948966,0.5049932659596923,2.0943951023931953, 0.6170670747442175,3
,18,0.6283185307179586, 1.8512012242326525,0.6283185307179586,0.5049932659596923,1.0471975511965976, 0.6170670747442175,2,,18,0.6283185307179586, 1.8512012242326525,0.6283185307179586,-0.280404897437756,0, 0,0,,18,0.6283185307179586, 1.8512012242326525,0.6283185307179586,-0.280404897437756,0, 0,0,,18,0.6283185307179586, 1.8512012242326525,5.864306286700947,-0.280404897437756,5.235987755982988, 0.6170670747442175,6,,18,0.6283185307179586, 1.8512012242326525,1.6755160819145565,-0.280404897437756,2.0943951023931953, 0.6170670747442175,3,,18,0.6283185307179586, 1.8512012242326525,1.6755160819145565,0.5049932659596923,2.0943951023931953, 0.6170670747442175,3,,18,0.6283185307179586, 1.8512012242326525,2.7227136331111543,0.5049932659596923,3.141592653589793, 0.6170670747442175,4,,18,0.6283185307179586, 1.8512012242326525,2.7227136331111543,-0.280404897437756,3.141592653589793, 0.6170670747442175,4,,18,0.6283185307179586, 1.8512012242326525,2.199114857512855,-0.280404897437756,2.0943951023931953, 0.6170670747442175,3,,18,0.6283185307179586, 1.8512012242326525,2.199114857512855,0.5049932659596923,2.0943951023931953, 0.6170670747442175,3
